Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
p53 signaling pathway	4/72	0.0011098213276690657	0.07888008422616166	0	0	9.549662487945998	64.97166583533507	SESN3;CDK1;TNFRSF10B;GADD45G
Transcriptional misregulation in cancer	6/186	0.0011685938403875802	0.07888008422616166	0	0	5.470555555555555	36.93694000599682	FUT8;HIST1H3A;HPGD;ZBTB16;IGF1R;GADD45G
ABC transporters	3/45	0.002856181987193151	0.0990517935652048	0	0	11.516840882694542	67.46875785828627	ABCC4;ABCC1;ABCA12
Fatty acid biosynthesis	2/13	0.0029348679574875496	0.0990517935652048	0	0	29.124633431085044	169.82844075829703	FASN;ACSL3
Longevity regulating pathway	4/102	0.003966801768016764	0.10710364773645262	0	0	6.616259618601539	36.586560078478726	SESN3;ATG101;IGF1R;CAMKK2
AMPK signaling pathway	4/120	0.007033196647554758	0.14651495732580466	0	0	5.584511023176936	27.683057560325828	PFKFB2;FASN;IGF1R;CAMKK2
Terpenoid backbone biosynthesis	2/22	0.008375974593977131	0.14651495732580466	0	0	16.011290322580646	76.57220011918446	IDI1;HMGCS1
Autophagy	4/128	0.008790524255811543	0.14651495732580466	0	0	5.222104706504495	24.721866288628508	ATG101;WIPI1;IGF1R;CAMKK2
FoxO signaling pathway	4/132	0.009767663821720311	0.14651495732580466	0	0	5.057889344262295	23.411340927109784	HOMER2;FOXG1;IGF1R;GADD45G
Butanoate metabolism	2/28	0.013373362435037593	0.1805403928730075	0	0	12.312655086848634	53.122832521129865	HMGCS1;ACSM1
Circadian rhythm	2/31	0.016250862229295712	0.19944240008681102	0	0	11.03726362625139	45.469214006526414	PER1;PER3
Aldosterone-regulated sodium reabsorption	2/37	0.022712816501329315	0.2499963381889798	0	0	9.142396313364054	34.60237844850864	NEDD4L;ATP1A1
Pancreatic secretion	3/98	0.02407372145523509	0.2499963381889798	0	0	5.078048780487805	18.924031419782978	KCNMA1;ATP1A1;SLC26A3
Homologous recombination	2/41	0.027513386794081805	0.2653076583715031	0	0	8.203060380479736	29.474273521841045	BARD1;XRCC2
Carbohydrate digestion and absorption	2/44	0.0313567370042311	0.28221063303807986	0	0	7.615975422427035	26.368990775421253	SI;ATP1A1
Endocrine and other factor-regulated calcium reabsorption	2/48	0.03678811281791683	0.3103997019011733	0	0	6.952314165497897	22.96057724319658	KLK2;ATP1A1
Mineral absorption	2/51	0.04108063310680018	0.3129295426921984	0	0	6.525674786043449	20.831379662678565	ATP1A1;SLC26A3
Cell cycle	3/124	0.043689614084888286	0.3129295426921984	0	0	3.9816569240072566	12.465153819614072	CDK1;MCM4;GADD45G
Glycosaminoglycan biosynthesis	2/53	0.04404193563816126	0.3129295426921984	0	0	6.2691334598355475	19.576077742437064	CSGALNACT1;FUT8
Synthesis and degradation of ketone bodies	1/10	0.06125676247542812	0.4134831467091398	0	0	17.657777777777778	49.3125409946923	HMGCS1
Adipocytokine signaling pathway	2/69	0.07030707137932411	0.42573637417324334	0	0	4.768175252768416	12.65894692663123	ACSL3;CAMKK2
Adherens junction	2/72	0.0756864665196877	0.42573637417324334	0	0	4.563133640552995	11.778159375077376	SNAI2;IGF1R
Bile secretion	2/72	0.0756864665196877	0.42573637417324334	0	0	4.563133640552995	11.778159375077376	ABCC4;ATP1A1
Melanoma	2/72	0.0756864665196877	0.42573637417324334	0	0	4.563133640552995	11.778159375077376	IGF1R;GADD45G
Glioma	2/75	0.0811923495188486	0.4384386874017825	0	0	4.374944763588157	10.98519866625776	IGF1R;GADD45G
Phenylalanine metabolism	1/17	0.1019069203374555	0.46854234620919405	0	0	9.929	22.67481190493372	ALDH1A3
